user_id,country,channel,plan,device,signup_date,session_time,price,converted,step,revenue
1,Norway,Direct,Premium,Tablet,2024-01-01 00:00:00,10,300,1,completed,300
2,Denmark,Paid,Premium,Tablet,2024-01-01 00:01:00,9,300,0,signup,0
3,Norway,Paid,Pro,Mobile,2024-01-01 00:02:00,8,500,1,completed,500
4,Norway,Organic,Premium,Tablet,2024-01-01 00:03:00,6,300,0,form_started,0
5,Denmark,Paid,Pro,Mobile,2024-01-01 00:04:00,10,500,1,completed,500
6,Denmark,Paid,Pro,Tablet,2024-01-01 00:05:00,17,500,1,completed,500
7,Norway,Direct,Basic,Tablet,2024-01-01 00:06:00,5,100,0,signup,0
8,Sweden,Paid,Pro,Tablet,2024-01-01 00:07:00,14,500,0,signup,0
9,Norway,Direct,Premium,Desktop,2024-01-01 00:08:00,17,300,1,completed,300
10,Norway,Paid,Premium,Desktop,2024-01-01 00:09:00,11,300,1,completed,300
11,Norway,Paid,Pro,Mobile,2024-01-01 00:10:00,4,500,0,signup,0
12,Norway,Paid,Basic,Tablet,2024-01-01 00:11:00,17,100,1,completed,100
13,Denmark,Organic,Pro,Mobile,2024-01-01 00:12:00,2,500,0,signup,0
14,Norway,Direct,Pro,Mobile,2024-01-01 00:13:00,1,500,0,form_started,0
15,Sweden,Organic,Premium,Tablet,2024-01-01 00:14:00,18,300,0,form_started,0
16,Denmark,Paid,Basic,Desktop,2024-01-01 00:15:00,7,100,0,form_started,0
17,Sweden,Organic,Basic,Desktop,2024-01-01 00:16:00,6,100,0,signup,0
18,Sweden,Direct,Basic,Mobile,2024-01-01 00:17:00,6,100,0,form_started,0
19,Sweden,Paid,Basic,Desktop,2024-01-01 00:18:00,14,100,1,completed,100
20,Sweden,Organic,Premium,Tablet,2024-01-01 00:19:00,12,300,0,form_started,0
21,Denmark,Organic,Basic,Tablet,2024-01-01 00:20:00,14,100,0,signup,0
22,Denmark,Direct,Basic,Desktop,2024-01-01 00:21:00,14,100,1,completed,100
23,Sweden,Organic,Basic,Desktop,2024-01-01 00:22:00,12,100,0,form_started,0
24,Sweden,Direct,Premium,Mobile,2024-01-01 00:23:00,9,300,0,signup,0
25,Denmark,Paid,Premium,Desktop,2024-01-01 00:24:00,9,300,1,completed,300
26,Denmark,Paid,Basic,Mobile,2024-01-01 00:25:00,2,100,1,completed,100
27,Denmark,Organic,Premium,Tablet,2024-01-01 00:26:00,18,300,0,form_started,0
28,Norway,Paid,Pro,Tablet,2024-01-01 00:27:00,5,500,0,signup,0
29,Norway,Paid,Basic,Tablet,2024-01-01 00:28:00,12,100,0,form_started,0
30,Norway,Organic,Premium,Desktop,2024-01-01 00:29:00,14,300,1,completed,300
31,Sweden,Paid,Basic,Desktop,2024-01-01 00:30:00,13,100,0,form_started,0
32,Norway,Organic,Basic,Desktop,2024-01-01 00:31:00,3,100,0,signup,0
33,Sweden,Direct,Premium,Mobile,2024-01-01 00:32:00,15,300,1,completed,300
34,Sweden,Direct,Pro,Mobile,2024-01-01 00:33:00,15,500,0,form_started,0
35,Norway,Direct,Basic,Mobile,2024-01-01 00:34:00,3,100,0,signup,0
36,Sweden,Organic,Pro,Tablet,2024-01-01 00:35:00,19,500,0,form_started,0
